id,naslov,cena,velikost,leto,nadstropje,prodajalec,opis
5952316,LJ. MOSTE,200000.00,118.60,1900,P,Kristal nepremiènine d.o.o.,"118,6 m2, 3,5-sobno, zgrajeno l. 1900, adaptirano l. 1965, P/1 nad., Stanovanje se nahaja v hiši in je sestavljeno iz pr..."
5797965,TACEN,200000.00,122.28,2009,2,"REMAX Vogal, Nepremièninska družba, d.o.o.","122,28 m2, 3-sobno, dupleks, novogradnja - zgr. l. 2009, 2/3 nad., Na èudoviti lokaciji obdani z naravo, s pogledom na n..."
5929181,"LJ. BEŽIGRAD, ZUPANÈIÈEVA JAMA - VELIKA TERASA",200000.00,58.60,2005,VP,Eventum d.o.o.,"58,6 m2, 2-sobno, zgrajeno l. 2005, visoko pritlièje, Železna cesta - lepo 2-sobno stanovanje z veliko teraso z vrtom (1..."
6054338,"LJ. MOSTE, ZALOG",200000.00,108.30,1960,1,Rocco nepremiènine d.o.o.,"108,3 m2, 4-sobno, zgrajeno l. 1960, adaptirano l. 2009, 1. nad., Na odlièni lokaciji v urejeni soseski v Zalogu se v bl..."
6060505,"VIŽMARJE, GUNCLJE",200000.00,164.00,2000,P+1,Mreža nepremiènin d.o.o.,"164 m2, 3-sobno, zgrajeno l. 2000, 140 m2 zemljišèa, P+1/1 nad., prodamo. Cena: 200.000,00 EUR"
5938232,"LJ. ŠIŠKA, MALGAJEVA 2",200000.00,110.00,1986,4,Zasebna ponudba,"110 m2, stanovanje, zgrajeno l. 1986, adaptirano l. 2014, 4/4 nad., mansarda v treh nivojih nova streha in str. okna CK ..."
6034990,"TRNOVO, TRNOVSKA VRATA",199000.00,50.90,2005,1,"Nepremiènine M8, Lea Kavaliè s.p.","50,9 m2, 1-sobno, zgrajeno l. 2005, 1/3 nad., Prodamo simpatièno, zelo urejeno stanovanje na odlièni lokaciji v Trnovski..."
6047368,"LJ. VIÈ, VELIK ATRIJ",199000.00,90.00,1957,2,"MA - nepremièninska družba, Marko Aliè s.p.","90 m2, 3-sobno, zgrajeno l. 1957, adaptirano l. 2016, 2/6 nad., Èudovito svetlo in prostorno stanovanje, letos je bilo p..."
6054779,"LJ. BEŽIGRAD, TOP LOKACIJA",199000.00,80.00,2016,13,Zasebna ponudba,"80 m2, 3-sobno, adaptirano l. 2016, adaptirano l. 2016, 13. nad., Popolnoma novo nad standardno prenovljeno stanovanje z..."
6061596,"LJ. BEŽIGRAD, SAVSKO NASELJE",199000.00,89.68,2016,2,Svet RE d.o.o.,"89,68 m2, 3-sobno, adaptirano l. 2016, 2. nad., LJUBLJANA, Bežigrad; posredujemo pri prodaji 3 sobnega stanovanja na odl..."
6053927,LJ. CENTER,198500.00,63.60,1900,3,Bajtiga poslovanje z nepremièninami d.o.o.,"63,6 m2, 2-sobno, zgrajeno l. 1900, adaptirano l. 2000, 3/4 nad., prodamo. Cena: 198.500,00 EUR"
6059836,"LJ. BEŽIGRAD, DUNAJSKA C.",198100.00,58.00,2014,3,ARS-T d.o.o.,"58 m2, 2-sobno, zgrajeno l. 2014, 3/10 nad., Novogradnja, stanovanje z razgledom, z najlepšo lego v stavbi, nizkoenerget..."
6045193,"LJ. ŠIŠKA, SPODNJA",198000.00,87.00,1903,VP,LJUBLJANA NEPREMIÈNINE d.o.o.,"87 m2, 3-sobno, zgrajeno l. 1903, adaptirano l. 2016, 25 m2 zemljišèa, VP/2 nad., Sp. Šiška, bližina centra, popolnoma p..."
6054459,"LJ. CENTER, KERSNIKOVA, NA NOTR. DVORIŠÈU",198000.00,85.00,1976,P+M,Svet RE d.o.o.,"85 m2, 3-sobno, dupleks, zgrajeno l. 1976, adaptirano l. 2016, 58 m2 zemljišèa, P+M/P+M, stanovanje je v lastni (edini l..."
