id,leto,nadstropje
6047368,2008,ni podatka
6028907,1894,ni podatka
6059094,1935,ni podatka
6035645,1982,ni podatka
5634772,2012,ni podatka
6036838,1929,ni podatka
6054209,1970,ni podatka
6050483,1930,ni podatka
6017955,2003,ni podatka
6003202,1763,ni podatka
6033218,1946,ni podatka
6061387,1981,ni podatka
6059368,1954,ni podatka
6058618,1949,ni podatka
6048735,2009,ni podatka
6050234,1977,ni podatka
6035703,1905,ni podatka
6060558,1987,ni podatka
6015434,1964,ni podatka
6021525,1972,ni podatka
6052013,1959,ni podatka
5464721,2010,ni podatka
6059589,1965,ni podatka
6035729,1936,ni podatka
6054657,1964,ni podatka
6054215,2009,ni podatka
6055688,1973,ni podatka
6050179,1814,ni podatka
6050855,1975,ni podatka
6059911,1956,ni podatka
5962792,2009,ni podatka
6036552,1970,ni podatka
6048442,1968,ni podatka
5915263,2008,ni podatka
6022819,1933,ni podatka
6042487,1980,ni podatka
6035718,1996,ni podatka
6061242,1900,ni podatka
6056472,1954,ni podatka
6057037,1976,ni podatka
6053946,2000,ni podatka
