id,leto,nadstropje
5952316,1900,P
5797965,2009,2
5929181,2005,VP
6054338,1960,1
6060505,2000,P+1
5938232,1986,4
5966303,2017,2
6034990,2005,1
6061555,1957,2
6054779,2016,13
6061596,2016,2
6053927,1900,3
6059836,2014,3
6045193,1903,VP
6054459,1976,P+M
6061115,2000,1
6016744,1993,2
5922390,1935,2
6054016,1900,P
6056979,1986,1
6056945,1903,VP
6041083,1903,VP
6048644,1900,P
5711219,1997,2
6024242,1939,M
5981645,1910,P
5926326,1976,2
6039102,2011,1
6060417,2006,2
6052322,1939,2
6030022,1939,P
6049791,2009,4
6054156,1965,2
6042265,2008,P
5786395,2009,M
6054339,1960,2
6059643,1955,P
6009915,1985,1
5947648,1994,5
6017389,2004,2
6027812,1972,1
6042666,1983,P
6059894,2002,2
6003339,1932,3
5990230,2014,3
6059796,1965,2
6057312,2018,P
6055710,2016,2
6053894,1930,3
6057348,1970,1
6059082,2006,5
6061220,2010,2
6050974,2004,P
6053573,2007,3
6060426,1931,3
5988490,2004,P
6052821,2016,2
6036880,1962,9
6056353,2016,1
5970832,2005,2
6048875,1976,3
6057775,1940,VP
6059883,1931,3
6059878,1976,3
6060742,1976,3
6061010,1968,4
6046575,1968,4
6060733,1968,3
6001604,1926,K+P+1
6054542,1983,2
6059254,1982,7
6054170,1968,1
6025667,1947,1
6015582,2016,2
6056349,2016,2
6056344,2016,1
6056346,2016,2
6047550,1978,3
6058108,1978,3
6058696,1978,3
6058441,1968,3
6058651,1978,3
6055743,2016,1
6058636,1964,2
6044705,1967,5
6046744,2000,3
6050745,1986,P
6021674,2015,P
6054146,2009,1
6055491,1955,VP
6059816,1974,10
6059557,1978,5
6061060,2002,3
6050485,2001,2
6060631,2008,P
6015575,2016,1
6059771,1980,2
6012713,1992,1
6001232,1929,PK
6047211,1920,PK
6050227,1927,1
6045389,1978,3
6059692,1956,4
6032030,2009,P
6060808,1974,1
5967372,2017,2
6032283,1960,1
5930594,1984,VP
5936334,1933,1
6059953,1968,1
6059137,1968,1
6048689,2009,2
6051211,1985,M
6054023,1935,1
6060440,2009,2
6049890,2009,2
6050636,1974,4
6048360,1961,13
5967375,2017,3
5967374,2017,3
5991535,1930,P+M
5996627,1930,P
5952176,2004,P
6023327,1967,11
6038053,1967,1
6044323,1910,1
6045706,1988,4
6041439,2007,1
6039454,1972,11
6055819,1972,3
6055464,1978,11
6053078,1983,3
6057713,1970,6
6059075,2008,VP
6060413,1972,3
6060999,1964,3
6061089,1967,4
6061279,1948,2
6040711,1940,VP
5967377,2017,P
6059820,1975,11
5967369,2017,1
5967381,2017,P
6054214,2009,5
6058751,1760,2
6053694,2009,5
5990842,1760,2
5967371,2017,2
5967367,2017,1
6052812,1970,5
6053692,2009,7
6044178,1990,P
5982626,1987,1
6031488,1933,1
5954285,1954,VP
6051054,2000,4
6054331,1960,2
6060613,1978,10
6058421,1978,10
5935461,1980,4
6050862,2016,1
6049562,1986,4
6051798,1979,3
6031712,1983,5
6056330,1962,1
6058042,1983,5
6060947,2009,M
6004359,1987,P
6053693,2009,6
6030279,1988,3
6044606,1978,7
6051130,1988,3
6040723,1988,3
6058217,1970,2
6042145,1988,3
6053697,2009,2
6054324,2016,VP
6054327,2016,1
6059601,1932,M
6059857,1938,M
6061164,1988,5
6060003,1998,1
6019975,1989,2
6043150,1946,1
6022395,1763,2
6013598,1950,1
6042426,1946,1
6022573,2009,P
6058035,1968,VP
6059139,1982,6
6059246,1994,M
6027950,1959,4
6029452,1763,2
6061354,1974,2
5824901,1994,2
6012840,1800,1
6053715,1972,5
6053689,2009,6
6051972,1980,P
6053089,2009,5
6045175,1978,4
6048752,1978,4
6055565,1978,4
6060574,1974,3
6010104,1992,2
5995107,1979,3
6049284,1983,3
6057515,1980,19
6060744,2004,P
6013120,1896,M
6044543,1957,4
6060684,1975,1
6023381,1940,VP
6059901,1955,1
6061582,1962,4
5947540,2006,P
6037585,2004,P
5961693,2000,P
6027045,1996,2
6031139,1966,2 
6057511,1976,1
6053691,2009,4
6045634,2009,P
6045607,2009,P
6057746,2010,P
5953705,1960,VP
6056832,1980,2
5933331,1983,3
5641420,1954,1
5996409,1990,1
6054213,2009,4
5967380,2017,1
6046939,1964,4
6034821,1966,1
6051490,1976,1
6056957,1979,3
6058474,1978,P
6059640,1963,P
6059940,2009,3
6048818,1976,1
6060552,1974,3
6003266,1970,2
6050873,2011,3
5993600,2016,M
5967391,2017,P
6052713,1961,P
6052496,1961,P
6058180,1930,PK
6014930,2010,2
6033232,2009,P
6041364,2009,2
6012126,2009,2
5995287,2010,2
6031958,2009,P
6046486,2006,1
6058999,2009,3
6060530,1964,2
5901870,2010,2
6061613,2009,2
6058910,1967,VP
6049980,1967,K+P+1+2
5982651,1980,19
6051859,1934,VP
