id,naslov,cena,velikost,prodajalec,leto,nadstropje
5952316,LJ. MOSTE,200000.0,118.6,Kristal nepremiènine d.o.o.,1900,P
5797965,TACEN,200000.0,122.28,"REMAX Vogal, Nepremièninska družba, d.o.o.",2009,2
5929181,"LJ. BEŽIGRAD, ZUPANÈIÈEVA JAMA - VELIKA TERASA",200000.0,58.6,Eventum d.o.o.,2005,VP
6054338,"LJ. MOSTE, ZALOG",200000.0,108.3,Rocco nepremiènine d.o.o.,1960,1
6060505,"VIŽMARJE, GUNCLJE",200000.0,164.0,Mreža nepremiènin d.o.o.,2000,P+1
5938232,"LJ. ŠIŠKA, MALGAJEVA 2",200000.0,110.0,Zasebna ponudba,1986,4
5966303,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",199365.19,99.06,LIN nepremiènine d.o.o.,2017,2
6034990,"TRNOVO, TRNOVSKA VRATA",199000.0,50.9,"Nepremiènine M8, Lea Kavaliè s.p.",2005,1
6047368,"LJ. VIÈ, VELIK ATRIJ",199000.0,89.0,Euromark-a d.o.o.,2008,ni podatka
6061555,LJ. BEŽIGRAD,199000.0,90.0,"MA - nepremièninska družba, Marko Aliè s.p.",1957,2
6054779,"LJ. BEŽIGRAD, TOP LOKACIJA",199000.0,80.0,Zasebna ponudba,2016,13
6061596,"LJ. BEŽIGRAD, SAVSKO NASELJE",199000.0,89.68,Svet RE d.o.o.,2016,2
6053927,LJ. CENTER,198500.0,63.6,Bajtiga poslovanje z nepremièninami d.o.o.,1900,3
6059836,"LJ. BEŽIGRAD, DUNAJSKA C.",198100.0,58.0,ARS-T d.o.o.,2014,3
6045193,"LJ. ŠIŠKA, SPODNJA",198000.0,87.0,LJUBLJANA NEPREMIÈNINE d.o.o.,1903,VP
6054459,"LJ. CENTER, KERSNIKOVA, NA NOTR. DVORIŠÈU",198000.0,85.0,Svet RE d.o.o.,1976,P+M
6061115,"LJ. BEŽIGRAD, ZELENI DVOR_SAVSKA CESTA",198000.0,130.24,COOP nepremiènine d.o.o.,2000,1
6016744,"LJ. ŠIŠKA, MANJŠI VILA BLOK, GARAŽA",198000.0,74.0,Mreža nepremiènin d.o.o.,1993,2
5922390,LJ. BEŽIGRAD,198000.0,95.0,"Stoja trade, d.o.o., Ljubljana",1935,2
6054016,LJ. MOSTE,197000.0,110.9,LJUBLJANA NEPREMIÈNINE d.o.o.,1900,P
6056979,"LJ. MOSTE, FUŽINE",197000.0,94.8,MESTO NEPREMIÈNIN d.o.o.,1986,1
6056945,"LJ. ŠIŠKA, SPODNJA",197000.0,87.0,MESTO NEPREMIÈNIN d.o.o.,1903,VP
6041083,"SP. ŠIŠKA, BLIŽINA CENTRA IN TIVOLIJA",197000.0,97.6,Zasebna ponudba,1903,VP
6048644,"LJ. MOSTE, BLIŽINA ZDRAVSTVENEGA DOMA",197000.0,110.92,"Stoja trade, d.o.o., Ljubljana",1900,P
5711219,"LJ. VIÈ, DOLGI MOST",196000.0,77.0,LJUBLJANA NEPREMIÈNINE d.o.o.,1997,2
6024242,LJ. ŠIŠKA,195000.0,102.3,MESTO NEPREMIÈNIN d.o.o.,1939,M
6028907,RAKOVNIK,195000.0,98.0,"REMAX Vogal, Nepremièninska družba, d.o.o.",1894,ni podatka
5981645,RUDNIK,195000.0,73.0,LJUBLJANA NEPREMIÈNINE d.o.o.,1910,P
5926326,LJ. VIÈ,195000.0,140.0,LJUBLJANA NEPREMIÈNINE d.o.o.,1976,2
6039102,"LJ. BEŽIGRAD, DUNAJSKA CESTA",195000.0,73.6,"Abstract nepremiènine, Igor Kerin s.p.",2011,1
6060417,"ÈRNUÈE, ÈRNUŠKA GMAJNA",195000.0,105.9,LJUBLJANA NEPREMIÈNINE d.o.o.,2006,2
6052322,LJ. BEŽIGRAD,195000.0,92.26,"Stoja trade, d.o.o., Ljubljana",1939,2
6030022,ŠENTVID,195000.0,112.8,Zasebna ponudba,1939,P
6049791,"LJ. ŠIŠKA, CELOVŠKI DVORI",193000.0,92.9,"Ornis, nepremiènine, zastopanje in svetovanje d.o.o.",2009,4
6054156,LJ. BEŽIGRAD,193000.0,60.9,Mreža nepremiènin d.o.o.,1965,2
6042265,LJ. CENTER,190000.0,44.7,Rocco nepremiènine d.o.o.,2008,P
5786395,"TACEN, DOBRA LOKACIJA",190000.0,116.5,"REMAX Vogal, Nepremièninska družba, d.o.o.",2009,M
6054339,"LJ. MOSTE, ZALOG",190000.0,99.5,Rocco nepremiènine d.o.o.,1960,2
6059643,LJ. VIÈ,190000.0,82.5,LJUBLJANA NEPREMIÈNINE d.o.o.,1955,P
6009915,"LJ. ŠIŠKA, VODNIKOVA 4 - STARA CERKEV",190000.0,101.0,Zasebna ponudba,1985,1
5947648,"LJ. BEŽIGRAD, ŽUPANÈIÈEVA JAMA",189900.0,62.0,1.AMS d.o.o.,1994,5
6017389,LJ. VIÈ,189000.0,73.0,Arcimboldo d.o.o.,2004,2
6027812,"POLJE, ZALOG",189000.0,116.0,LJUBLJANA NEPREMIÈNINE d.o.o.,1972,1
6042666,"LJ. BEŽIGRAD, ATRIJ UL. METODA MIKUŽA RAPOVA J",189000.0,62.8,"Visa d.o.o., Ljubljana",1983,P
6059894,"LJ. BEŽIGRAD, BLIŽINA PLEÈNIKOVEGA STADIONA",189000.0,108.8,"STAN nepremiènine d.o.o., Ljubljana",2002,2
6003339,LJ. BEŽIGRAD,189000.0,108.8,"Stoja trade, d.o.o., Ljubljana",1932,3
5990230,"LJ. BEŽIGRAD, MOŽNOST PREDELAVE V 1 SOBNO",188582.93,55.32,"Nepremiènine M8, Lea Kavaliè s.p.",2014,3
6059796,"LJ. BEŽIGRAD, GLAVARJEVA",187500.0,62.2,Feniks nepremiènine d.o.o.,1965,2
6057312,LJ. ŠIŠKA,187409.24,62.36,"Stoja trade, d.o.o., Ljubljana",2018,P
6055710,RAKOVNIK,187000.0,47.63,Rocco nepremiènine d.o.o.,2016,2
6059094,"LJ. ŠIŠKA, NASPROTI HALE TIVOLI",186000.0,87.2,ABC nepremiènine d.o.o.,1935,ni podatka
6053894,"LJ. CENTER, TRUBARJEVA CESTA",185000.0,80.0,"REMAX Vogal, Nepremièninska družba, d.o.o.",1930,3
6057348,"LJ. ŠIŠKA, UL. ANE ZIHERLOVE",185000.0,69.9,"Nepremièninska agencija ""TLORIS"" Miro Toriæ s.p., Poslovna enota",1970,1
6059082,"LJ. CENTER, VODMAT - GRABLOVIÈEVA ULICA",185000.0,89.0,Nepremiènine Plus d.o.o.,2006,5
6061220,"LJ. ŠIŠKA, VILA V BLIŽINI ROŽNIKA",185000.0,103.77,"STAN nepremiènine d.o.o., Ljubljana",2010,2
6050974,BROD,185000.0,60.7,Zasebna ponudba,2004,P
6053573,"LJ. BEŽIGRAD, SAVSKI KAMEN",185000.0,56.0,Zasebna ponudba,2007,3
6060426,"LJ. BEŽIGRAD, KRŽIÈEVA ULICA",185000.0,83.0,Zasebna ponudba,1931,3
5988490,"LJ. ŠIŠKA, DRAVLJE",185000.0,100.0,Zasebna ponudba,2004,P
6052821,"DOLGI MOST, VIÈ",184900.0,135.0,Zasebna ponudba,2016,2
6036880,LJ. CENTER,183000.0,73.6,"Stoja trade, d.o.o., Ljubljana",1962,9
6056353,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",181950.0,77.7,MESTO NEPREMIÈNIN d.o.o.,2016,1
5970832,"RUDNIK, BARJANSKA ULICA, TRNOVSKA VRATA",181000.0,54.8,Vilmar nepremiènine d.o.o.,2005,2
6048875,"LJ. MOSTE, ŠTEPANJSKO NASELJE",180000.0,83.0,MESTO NEPREMIÈNIN d.o.o.,1976,3
6057775,NOVE JARŠE,180000.0,150.7,Maridom nepremiènine d.o.o.,1940,VP
6059883,BEŽIGRAJSKI DVOR,180000.0,84.1,"Livo d.o.o., PE nepremièninsko posredovanje",1931,3
6059878,LJ. MOSTE,180000.0,84.0,"Livo d.o.o., PE nepremièninsko posredovanje",1976,3
6060742,LJ. MOSTE,180000.0,84.0,Neptun nepremiènine - Borut Vodopivec s.p.,1976,3
6061010,"LJ. BEŽIGRAD, KRŽIÈEVA",180000.0,84.1,Feniks nepremiènine d.o.o.,1968,4
6046575,"BEŽIGRAJSKI DVOR, KRŽIÈEVA ULICA 6",180000.0,84.0,Zasebna ponudba,1968,4
6060733,"LJ. BEŽIGRAD, MED BEŽIGRAJSKIM DVOROM IN PLAVO LAGUNO",180000.0,84.0,Mreža nepremiènin d.o.o.,1968,3
6001604,VIŽMARJE,179000.0,372.0,"Rebernik nepremiènine, Samo Rebernik s.p.",1926,K+P+1
6054542,"LJ. ŠIŠKA, BRILEJEVA UL., NAKUP BREZ PROVIZ",179000.0,98.8,"Gratek, Kohne in partner k.d.",1983,2
6059254,"JARŠE, ZELO LEPO STANOVANJE",179000.0,79.2,MKA nepremiènine d.o.o.,1982,7
6054170,"ROŽNA DOLINA, NA VIÈU V LJUBLJANI",179000.0,148.0,Zasebna ponudba,1968,1
6025667,ZG. ŠIŠKA,179000.0,107.1,"Stoja trade, d.o.o., Ljubljana",1947,1
6015582,"LJ. VIÈ, LANOVO - ŠKOFLJICA",178950.0,122.9,Nepremiènine Plus d.o.o.,2016,2
6056349,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178950.0,78.5,MESTO NEPREMIÈNIN d.o.o.,2016,2
6056344,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178900.0,78.1,MESTO NEPREMIÈNIN d.o.o.,2016,1
6056346,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178900.0,78.0,MESTO NEPREMIÈNIN d.o.o.,2016,2
6047550,"LJ. ŠIŠKA, KOSEZE - TERASASTI BLOKI",178000.0,76.81,HDS d.o.o.,1978,3
6058108,"LJ. ŠIŠKA, KOSEZE",178000.0,76.2,"STAN nepremiènine d.o.o., Ljubljana",1978,3
6058696,"LJ. ŠIŠKA, KOSEZE - TERASASTI BLOKI",178000.0,76.81,HDS d.o.o.,1978,3
